"Industry Group ID","Number of Employees Midpoint PCI","Industry Group"
"1111",-0.4532045143,"Cultivo de Semillas Oleaginosas, Leguminosas y Cereales"
"1112",0.3336800361,"Cultivo de Hortalizas"
"1113",-0.7411397268,"Cultivo de Frutales y Nueces"
"1114",0.281658127,"Cultivo en Invernaderos y otras Estructuras Agrícolas Protegidas, y Floricultura"
"1119",0.0352813243,"Otros Cultivos"
"1121",0.5773350281,"Explotación de Bovinos"
"1122",-1.0331178399,"Explotación de Porcinos"
"1123",0.297306384,"Explotación Avícola"
"1124",-1.6904313449,"Explotación de Ovinos y Caprinos"
"1125",-1.828312832,"Acuicultura"
"1141",-1.7709320226,"Pesca"
"1151",-0.7569268136,"Servicios Relacionados con la Agricultura"
"1152",0.5221720584,"Servicios Relacionados con la Cría y Explotación de Animales"
"2111",-1.7918550195,"Extracción de Petróleo y Gas"
"2121",1.7985599729,"Minería de Carbón Mineral"
"2122",0.1273213781,"Minería de Minerales Metálicos"
"2123",-0.591562208,"Minería de Minerales no Metálicos"
"2131",-0.053804064,"Servicios Relacionados con la Minería"
"2211",-1.1527304561,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica"
"2212",0.8556636012,"Suministro de Gas Natural por Ductos al Consumidor Final"
"2213",-0.9037419876,"Captación, Tratamiento y Suministro de Agua"
"2361",0.1567196374,"Edificación Residencial"
"2362",0.4423680893,"Edificación no Residencial"
"2371",-0.3258258753,"Construcción de Obras para el Suministro de Agua, Petróleo, Gas, Energía Eléctrica y Telecomunicaciones"
"2372",-0.3628985885,"División de Terrenos y Construcción de Obras de Urbanización"
"2373",-1.0187978396,"Construcción de Vías de Comunicación"
"2379",-0.1336230836,"Otras Construcciones de Ingeniería Civil"
"2381",0.6382909369,"Cimentaciones, Montaje de Estructuras Prefabricadas y Trabajos en Exteriores"
"2382",0.9602558911,"Instalaciones y Equipamiento en Construcciones"
"2383",0.2800797046,"Trabajos de Acabados en Edificaciones"
"2389",0.1979022333,"Otros Trabajos Especializados para la Construcción"
"3111",0.5429075085,"Elaboración de Alimentos para Animales"
"3112",0.2603884154,"Molienda de Granos y de Semillas y Obtención de Aceites y Grasas"
"3113",-1.1159419322,"Elaboración de Azúcares, Chocolates, Dulces y Similares"
"3114",-0.1593144744,"Conservación de Frutas, Verduras, Guisos y otros Alimentos Preparados"
"3115",-0.0937845498,"Elaboración de Productos Lácteos"
"3116",0.1283871834,"Matanza, Empacado y Procesamiento de Carne de Ganado, Aves y otros Animales Comestibles"
"3117",-0.8622022577,"Preparación y Envasado de Pescados y Mariscos"
"3118",-1.8803372643,"Elaboración de Productos de Panadería y Tortillas"
"3119",-0.6781973425,"Otras Industrias Alimentarias"
"3121",-1.3025309367,"Industria de las Bebidas"
"3122",-0.2002516266,"Industria del Tabaco"
"3131",-2.0602193723,"Preparación e Hilado de Fibras Textiles, y Fabricación de Hilos"
"3132",-0.934883858,"Fabricación de Telas"
"3133",-0.1566279064,"Acabado de Productos Textiles y Fabricación de Telas Recubiertas"
"3141",-0.6728450324,"Confección de Alfombras, Blancos y Similares"
"3149",-2.5434635877,"Fabricación de otros Productos Textiles, Excepto Prendas de Vestir"
"3151",-0.7789667637,"Fabricación de Prendas de Vestir de Tejido de Punto"
"3152",-0.6464889286,"Confección de Prendas de Vestir"
"3159",-0.5720401351,"Confección de Accesorios de Vestir y otras Prendas de Vestir no Clasificados en otra Parte"
"3161",0.6253526655,"Curtido y Acabado de Cuero y Piel"
"3162",1.1471167392,"Fabricación de Calzado"
"3169",0.3620282701,"Fabricación de otros Productos de Cuero, Piel y Materiales Sucedáneos"
"3211",-1.7410269913,"Aserrado y Conservación de la Madera"
"3212",-1.003954637,"Fabricación de Laminados y Aglutinados de Madera"
"3219",-0.1486477346,"Fabricación de otros Productos de Madera"
"3221",0.2574840856,"Fabricación de Pulpa, Papel y Cartón"
"3222",1.4656350218,"Fabricación de Productos de Cartón y Papel"
"3231",1.5976239881,"Impresión e Industrias Conexas"
"3241",0.9186525029,"Fabricación de Productos Derivados del Petróleo y del Carbón"
"3251",-0.1609592112,"Fabricación de Productos Químicos Básicos"
"3252",0.6693133609,"Fabricación de Resinas y Hules Sintéticos, y Fibras Químicas"
"3253",-0.1164203303,"Fabricación de Fertilizantes, Pesticidas y otros Agroquímicos"
"3254",0.8410512617,"Fabricación de Productos Farmacéuticos"
"3255",1.5260421844,"Fabricación de Pinturas, Recubrimientos y Adhesivos"
"3256",1.0809796991,"Fabricación de Jabones, Limpiadores y Preparaciones de Tocador"
"3259",0.7640330009,"Fabricación de otros Productos Químicos"
"3261",1.2246804873,"Fabricación de Productos de Plástico"
"3262",1.0806980887,"Fabricación de Productos de Hule"
"3271",-1.1149356758,"Fabricación de Productos a Base de Arcillas y Minerales Refractarios"
"3272",0.3208597197,"Fabricación de Vidrio y Productos de Vidrio"
"3273",-0.7849963695,"Fabricación de Cemento y Productos de Concreto"
"3274",0.0929357594,"Fabricación de Cal, Yeso y Productos de Yeso"
"3279",0.657267303,"Fabricación de otros Productos a Base de Minerales no Metálicos"
"3311",-0.0749492254,"Industria Básica del Hierro y del Acero"
"3312",0.7412185458,"Fabricación de Productos de Hierro y Acero"
"3313",1.2613790243,"Industria Básica del Aluminio"
"3314",1.3293099107,"Industrias de Metales no Ferrosos, Excepto Aluminio"
"3315",0.7792603487,"Moldeo por Fundición de Piezas Metálicas"
"3321",1.5711435727,"Fabricación de Productos Metálicos Forjados y Troquelados"
"3322",1.1652390671,"Fabricación de Herramientas de Mano sin Motor y Utensilios de Cocina Metálicos"
"3323",-0.4316868336,"Fabricación de Estructuras Metálicas y Productos de Herrería"
"3324",0.8566669547,"Fabricación de Calderas, Tanques y Envases Metálicos"
